# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = gpa_model
# start_datetime = 2023-01-12 14:38:11 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2912177928 (Default)
# output
#   file = examples\gpa\gpavar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,nationality,perfect,gpa
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.502637,0.495815,4.92696
0,-inf,-2.94268,0.295209,0.0169229,3.09062
0,-4.2324,-0.617027,0.7672,0.562257,1.56637
0,-6.68513,-3.3231,0.647804,0.984984,1.8077
0,-2.45224,-1.12118,0.864139,0.134308,3.65999
0,-4.96629,-2.86427,0.442711,0.0352383,9.3459
0,-5.68461,-1.09549,0.462848,0.572155,0.593529
0,-inf,-1.77745,0.769042,0.0986706,0.894142
0,-5.42952,-1.58263,0.637087,0.837228,0.591719
0,-4.52076,-0.230761,0.467614,0.436853,7.68962
0,-6.0995,-1.38179,0.443146,0.108802,1.04756
0,-7.70532,-3.51842,0.942831,0.846451,0.264159
0,-5.96448,-1.29808,0.1858,0.89296,2.30976
0,-inf,-0.931432,0.902233,0.705555,6.48532
0,-4.88995,-0.539422,0.487029,0.14322,5.68129
0,-2.7646,-0.328974,0.740596,0.687926,3.41191
0,-inf,-2.0413,0.795644,0.961977,4.70413
0,-inf,-1.31604,0.863508,0.846746,8.07787
0,-inf,-3.4029,0.977706,0.0903426,8.29734
0,-4.95664,-1.27147,0.0874184,0.429331,8.42872
0,-inf,-1.03479,0.905084,0.245069,6.5856
0,-6.10002,-1.43934,0.106945,0.885462,3.64161
0,-5.96105,-1.3097,0.102096,0.138017,6.1701
0,-inf,-1.33827,0.842322,0.102554,7.25183
0,-5.48235,-1.89548,0.497208,0.694641,9.70258
0,-inf,-2.81901,0.220707,0.0535639,0.507561
0,-5.10969,-0.726666,0.441683,0.110495,4.70309
0,-4.89411,-1.12026,0.897756,0.72905,2.08873
0,-5.91207,-1.18237,0.172701,0.401261,0.862966
0,-inf,-0.186231,0.532578,0.643648,7.09328
0,-7.28892,-3.6231,0.988766,0.594862,1.15382
0,-4.9084,-1.15323,0.917978,0.553661,1.97911
0,-5.23371,-0.720057,0.131268,0.633128,2.79461
0,-5.71073,-1.07602,0.493413,0.838204,1.09682
0,-inf,-0.765934,0.578431,0.430341,9.03643
0,-inf,-0.974141,0.913849,0.290278,5.57983
0,-4.97872,-0.548807,0.306163,0.182111,3.1982
0,-6.09687,-1.46607,0.462106,0.373869,0.402902
0,-inf,-0.692455,0.895111,0.477909,5.32223
0,-6.56442,-1.96205,0.408592,0.953421,1.55556
0,-inf,-0.310188,0.634511,0.620958,7.70939
0,-5.68271,-1.0423,0.2672,0.542882,0.758074
0,-5.07232,-0.579405,0.394258,0.342748,1.3463
0,-6.20494,-1.47727,0.210773,0.904305,1.68767
0,-4.54545,-0.839635,0.85855,0.310812,2.05429
0,-inf,-3.05141,0.937908,0.0878729,9.3475
0,-inf,-1.72638,0.686285,0.116497,9.2784
0,-inf,-1.25048,0.640613,0.313207,9.39284
0,-5.40695,-0.889042,0.0895856,0.473594,3.28507
0,-5.37293,-1.47904,0.91784,0.749602,1.55241
0,-inf,-0.791275,0.889089,0.708158,5.45771
0,-inf,-1.04152,0.753515,0.164116,8.43262
0,-4.58788,-0.270627,0.252424,0.344071,3.94647
0,-inf,-1.83671,0.308087,0.0749439,0.977919
0,-4.75899,-0.406651,0.401819,0.748369,7.46106
0,-5.09248,-0.597717,0.356429,0.649932,1.36268
0,-5.28352,-0.81254,0.0947923,0.40814,5.71965
0,-inf,-1.66472,0.625625,0.094493,9.09286
0,-inf,-1.29163,0.703461,0.861445,8.84262
0,-inf,-2.84915,0.54527,0.0174489,7.27939
0,-5.27502,-2.97208,0.218296,0.0530716,9.53972
0,-inf,-2.32819,0.923014,0.0517548,5.35607
0,-4.6909,-0.353131,0.189117,0.458084,5.94325
0,-2.58361,-0.207533,0.678224,0.642781,3.31816
0,-4.30748,-0.0937226,0.317409,0.515907,4.66678
0,-inf,-0.25478,0.608379,0.477608,7.72706
0,-inf,-1.50661,0.873976,0.122871,1.82813
0,-4.31737,-0.104784,0.412831,0.588451,6.51148
0,-6.46183,-2.61212,0.656228,0.845265,0.21643
0,-inf,-0.23213,0.597522,0.312908,6.99996
0,-inf,-0.185876,0.563628,0.729941,5.42263
0,-3.57713,-0.194927,0.681351,0.557339,2.96935
0,-6.87392,-2.10537,0.0366369,0.665565,1.56008
0,-inf,-0.782336,0.721281,0.657355,8.77355
0,-4.56188,-0.259469,0.477926,0.247178,3.41596
0,-6.80741,-2.86601,0.0369476,0.75678,9.33476
0,-4.31819,-0.0933686,0.482195,0.594375,3.30707
0,-5.28631,-0.715645,0.247133,0.341894,1.40665
0,-5.50922,-0.902525,0.21468,0.814666,1.98464
0,-4.10339,-0.54372,0.613339,0.440227,1.29928
0,-6.67278,-2.01838,0.0399577,0.837569,5.87393
0,-inf,-1.38806,0.890337,0.469095,9.02265
0,-4.4278,-1.71941,0.961433,0.318087,3.22435
0,-5.70331,-1.06019,0.166075,0.163214,7.71455
0,-inf,-1.12802,0.898651,0.724734,7.85161
