# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = gpa_model
# start_datetime = 2023-01-12 14:36:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2912102498 (Default)
# output
#   file = examples\gpa\gpaMCMC20k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,nationality,perfect,gpa
# Adaptation terminated
# Step size = 0.154407
# Diagonal elements of inverse mass matrix:
# 3.06156, 2.76327, 3.51433
-2.2197,0.999857,0.154407,4,15,0,3.36563,0.308269,0.453684,2.89186
-2.37746,0.932657,0.154407,3,15,1,2.71773,0.283598,0.297894,3.22103
-2.22794,0.909091,0.154407,3,11,1,2.41758,0.285401,0.361947,3.54292
-3.04687,0.995633,0.154407,4,15,0,3.43521,0.15445,0.708642,7.71681
-2.36828,0.933333,0.154407,3,15,1,3.72653,0.210769,0.516743,3.43239
-4.81989,0.950967,0.154407,4,28,1,5.80559,0.306768,0.317964,0.178107
-3.94051,0.999932,0.154407,3,7,0,4.94281,0.285887,0.309925,0.466996
-4.0487,0.857047,0.154407,2,7,1,5.16924,0.223088,0.477514,0.421161
-3.95225,0.931165,0.154407,3,15,1,5.85215,0.152862,0.161731,1.2507
-4.02519,0.75,0.154407,2,4,1,7.52151,0.0632603,0.335923,1.61039
-4.49317,0.933278,0.154407,3,15,1,5.04644,0.0293434,0.306279,2.44707
-4.52183,0.855693,0.154407,2,7,1,6.22944,0.023151,0.639779,2.96395
-4.9171,0.998447,0.154407,4,15,0,5.51465,0.0275222,0.869155,4.02526
-3.23802,0.916346,0.154407,3,12,1,5.42069,0.076467,0.666433,5.05874
-5.05237,0.9622,0.154407,4,30,1,9.1613,0.839049,0.686584,0.225102
-4.56492,0.908544,0.154407,3,11,1,6.49693,0.811354,0.858903,0.596879
-2.90554,1,0.154407,4,15,0,4.93146,0.501577,0.49705,0.969554
-3.39293,0.91432,0.154407,3,12,1,4.26113,0.266555,0.639675,0.811766
-2.9462,0.923039,0.154407,3,13,1,3.78808,0.298589,0.774294,1.73724
-3.48104,0.915204,0.154407,3,12,1,3.81513,0.465281,0.893371,1.5338
-4.70021,0.829722,0.154407,2,6,1,6.29998,0.318162,0.935068,0.746044
-4.86197,0.999775,0.154407,3,7,0,4.9458,0.307175,0.944544,0.75017
-3.66458,0.875,0.154407,3,8,1,4.90581,0.392353,0.891143,1.26843
-3.36271,0.857095,0.154407,2,7,1,3.82029,0.459089,0.885418,1.64593
-4.09013,0.920491,0.154407,3,13,1,5.11947,0.502227,0.52598,0.276149
-4.4227,0.872053,0.154407,3,8,1,5.22446,0.670962,0.252545,0.2968
-4.79499,0.99977,0.154407,3,7,0,5.06021,0.52465,0.223543,0.194871
-5.09285,0.797967,0.154407,2,5,1,5.69547,0.452501,0.142927,0.206603
-5.09285,0,0.154407,0,1,1,8.03453,0.452501,0.142927,0.206603
-5.91225,0.926833,0.154407,4,16,1,8.95672,0.00949102,0.864814,4.38478
-6.53034,0.932055,0.154407,3,15,1,6.88262,0.0100118,0.934571,5.96688
-5.91435,0.999845,0.154407,4,15,0,7.00438,0.0274859,0.953039,6.55808
-6.19275,0.999968,0.154407,3,7,0,6.39525,0.0234534,0.962339,5.61079
-3.39061,0.999184,0.154407,4,15,0,6.93441,0.0773642,0.799964,8.76163
-4.01231,0.765438,0.154407,3,15,1,6.2776,0.10896,0.91887,4.93806
-3.93568,0.93317,0.154407,3,15,1,4.66135,0.089231,0.874676,6.7534
-2.4711,0.999969,0.154407,4,15,0,4.21116,0.329821,0.729207,2.62469
-4.79841,0.992041,0.154407,4,15,0,5.28645,0.14437,0.969061,6.65636
-5.13929,0.899501,0.154407,3,10,1,5.54481,0.0744112,0.964661,5.18363
-2.63927,0.999623,0.154407,4,15,0,5.65994,0.328782,0.689405,1.85558
-4.80435,0.931663,0.154407,4,16,1,5.08555,0.46353,0.989819,8.60158
-4.58716,0.5,0.154407,1,2,1,5.08602,0.499803,0.988786,8.38932
-4.58716,0,0.154407,0,1,1,7.48227,0.499803,0.988786,8.38932
-4.58716,0,0.154407,0,1,1,10.04,0.499803,0.988786,8.38932
-5.23303,0.277,0.154407,2,4,1,6.28747,0.434152,0.989092,7.20495
-5.53161,0.499622,0.154407,1,2,1,6.1098,0.467529,0.991309,7.55696
-5.87812,0.499688,0.154407,1,2,1,6.61067,0.422852,0.993484,7.69772
-5.0119,0.999999,0.154407,3,7,0,6.03574,0.327392,0.987406,5.82744
-5.77961,0.74734,0.154407,2,4,1,7.10414,0.166968,0.989613,6.84053
-3.74181,0.999652,0.154407,4,15,0,5.71445,0.38485,0.971117,8.44442
-3.74181,0.184631,0.154407,1,2,1,5.69547,0.38485,0.971117,8.44442
-3.79873,0.5,0.154407,1,2,1,4.91197,0.463977,0.976346,8.26393
-4.0933,0.749942,0.154407,2,4,1,4.26596,0.428113,0.983151,8.14111
-4.67746,0.664332,0.154407,1,3,1,6.28144,0.456397,0.987815,8.67971
-4.1274,0.43496,0.154407,2,4,1,6.29133,0.408068,0.982351,8.29172
-4.38172,0.661927,0.154407,4,15,0,5.33558,0.44989,0.957036,9.52546
-4.38172,0,0.154407,0,1,1,5.5771,0.44989,0.957036,9.52546
-6.32635,0.872832,0.154407,3,8,1,6.7579,0.313495,0.993151,9.52828
-4.34376,0.616728,0.154407,3,14,1,6.54479,0.35859,0.979718,8.81391
-4.3783,0.749691,0.154407,2,4,1,5.54237,0.419838,0.976425,9.09486
-4.65032,0.499729,0.154407,1,2,1,5.0792,0.459774,0.979084,9.25288
-4.65032,0,0.154407,0,1,1,8.9308,0.459774,0.979084,9.25288
-4.73495,0.666496,0.154407,1,3,1,5.03192,0.440748,0.977097,9.3752
-5.3026,0.538497,0.154407,3,13,1,6.31684,0.437349,0.981793,9.56467
-2.76222,0.587088,0.154407,3,13,1,7.03819,0.283922,0.816605,7.06378
-2.61254,0.856452,0.154407,2,7,1,4.25691,0.342777,0.886904,8.6137
-2.35205,0.666667,0.154407,1,3,1,3.2833,0.396815,0.8609,8.57558
-2.35205,0,0.154407,0,1,1,6.19504,0.396815,0.8609,8.57558
-2.35205,0,0.154407,0,1,1,4.47927,0.396815,0.8609,8.57558
-2.17912,1,0.154407,2,3,0,2.35844,0.39401,0.850877,8.35581
-2.74341,0.921631,0.154407,3,13,1,3.82565,0.313146,0.319023,9.46472
