# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = prior_mix_model
# start_datetime = 2023-01-12 14:17:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\prior_mix\prior_mix.data.R
# init = 2 (Default)
# random
#   seed = 2910927698 (Default)
# output
#   file = examples\prior_mix\prior_mixMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1
# Adaptation terminated
# Step size = 0.802905
# Diagonal elements of inverse mass matrix:
# 0.076929
-29.8212,0.912896,0.802905,1,3,0,30.2194,-2.89618
-30.7873,0.874282,0.802905,1,3,0,30.9508,-3.28358
-30.7152,1,0.802905,1,1,0,30.9015,-3.26279
-31.1798,0.987033,0.802905,2,3,0,31.2021,-3.38715
-31.1798,0.973966,0.802905,1,1,0,31.6129,-3.38715
-31.3173,0.990503,0.802905,1,1,0,31.4504,-3.4203
-31.3542,0.99758,0.802905,1,1,0,31.5351,-3.42897
-29.6596,0.980213,0.802905,2,7,0,31.0167,-2.52449
-30.1593,0.925644,0.802905,2,7,0,30.1594,-3.07147
-29.9846,1,0.802905,2,3,0,30.1524,-2.99151
-30.3425,0.952099,0.802905,1,1,0,30.343,-3.14227
-30.1063,1,0.802905,1,1,0,30.3312,-3.0488
-31.1161,0.87091,0.802905,1,3,0,31.1897,-3.37129
-30.002,0.940345,0.802905,1,3,0,31.1041,-3.00025
-29.7879,0.932778,0.802905,1,3,0,30.5753,-2.39307
-30.0698,0.973463,0.802905,2,3,0,30.0805,-2.23688
-30.0698,0.478011,0.802905,1,1,0,31.4162,-2.23688
-30.0557,1,0.802905,2,7,0,30.0567,-3.02597
-29.9969,0.910687,0.802905,1,3,0,31.0381,-2.27062
