# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = prior_mix_model
# start_datetime = 2023-01-12 14:18:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\prior_mix\prior_mix.data.R
# init = 2 (Default)
# random
#   seed = 2910990458 (Default)
# output
#   file = examples\prior_mix\prior_mixvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1
# Stepsize adaptation complete.
# eta = 1
0,0,0,-2.72784
0,-32.941,-2.66965,-3.74082
0,-30.6328,-0.531408,-3.23814
0,-29.8811,-0.0778257,-2.9346
0,-30.0124,-0.143732,-3.00535
0,-29.6557,-0.0620293,-2.53125
0,-30.5249,-0.456998,-3.20433
0,-29.6916,-0.096748,-2.48058
0,-29.6286,-0.0223295,-2.61124
0,-29.6904,-0.00509182,-2.78208
0,-29.6391,-0.0418906,-2.56711
0,-30.0423,-0.341248,-2.24925
0,-30.6016,-0.509627,-3.22855
0,-30.2175,-0.445241,-2.1763
0,-29.8275,-0.0536177,-2.90047
0,-29.6389,-0.00175583,-2.69555
0,-29.6844,-0.00379012,-2.7747
0,-31.0024,-0.804713,-3.34215
0,-29.8044,-0.0438732,-2.88442
0,-31.7855,-1.4714,-3.52427
0,-29.6414,-0.0449617,-2.56118
0,-34.979,-2.55786,-1.28492
0,-30.0914,-0.186899,-3.04218
0,-29.6888,-0.00472149,-2.78009
0,-30.0348,-0.33667,-2.25267
0,-29.6595,-0.0660822,-2.52474
0,-31.2124,-0.964139,-1.88979
0,-29.8947,-0.247335,-2.32421
0,-30.3292,-0.328932,-3.13745
0,-30.1433,-0.216486,-3.06475
0,-29.6389,-0.0415953,-2.56769
0,-30.4608,-0.581095,-2.09147
0,-29.7581,-0.0258175,-2.84867
0,-30.3576,-0.346949,-3.14768
0,-31.1352,-0.909579,-3.37608
0,-31.6705,-1.36624,-3.49985
0,-30.0747,-0.361007,-2.23471
0,-30.2471,-0.278073,-3.10668
0,-29.8239,-0.198982,-2.36784
0,-29.675,-0.0020345,-2.76224
0,-31.0954,-0.877804,-3.36608
0,-32.2299,-1.90135,-3.61308
0,-29.6427,-0.000851386,-2.70539
0,-29.6968,-0.10138,-2.47452
0,-31.8865,-1.56589,-3.5452
0,-29.6573,-9.02818e-005,-2.73512
0,-29.6432,-0.000754422,-2.70671
0,-29.6516,-0.0574382,-2.53887
0,-29.631,-0.00615887,-2.66711
0,-29.7394,-0.0192418,-2.83243
0,-29.8025,-0.183762,-2.38255
0,-32.4494,-2.12775,-3.65417
0,-29.7973,-0.180051,-2.38622
0,-30.4306,-0.564663,-2.10123
0,-29.7998,-0.181854,-2.38443
0,-30.0193,-0.147403,-3.0087
0,-29.6284,-0.0216759,-2.61299
0,-29.6307,-0.00647702,-2.66554
0,-29.6281,-0.0202286,-2.61695
0,-29.766,-0.0287187,-2.85514
0,-29.7271,-0.0152388,-2.82109
0,-30.1495,-0.405638,-2.2031
0,-29.6535,-2.02671e-007,-2.72819
0,-34.147,-2.2326,-1.39147
0,-31.2695,-0.991679,-1.87674
0,-29.8695,-0.0724292,-2.92755
0,-29.9613,-0.290647,-2.2883
0,-29.88,-0.0772766,-2.9339
0,-29.6302,-0.0264971,-2.60062
0,-29.7926,-0.0390708,-2.87581
0,-29.7082,-0.111171,-2.46212
0,-29.8675,-0.0715008,-2.92631
0,-31.2606,-1.01168,-3.40679
0,-29.663,-0.069719,-2.51906
0,-29.6315,-0.029395,-2.59371
0,-29.7774,-0.0330497,-2.8642
0,-29.95,-0.283377,-2.29415
0,-31.398,-1.05301,-1.84823
0,-29.6286,-0.00958075,-2.65192
0,-30.0153,-0.145286,-3.00677
0,-29.6862,-0.0919804,-2.48696
0,-29.6471,-0.0522176,-2.54789
0,-31.8036,-1.48826,-3.52807
0,-29.7251,-0.0146113,-2.81918
0,-30.3191,-0.322581,-3.13376
0,-29.8543,-0.220092,-2.34826
0,-32.6538,-1.61728,-1.61235
0,-30.2204,-0.261947,-3.09626
0,-30.3547,-0.345098,-3.14665
0,-31.5536,-1.26189,-3.47432
0,-30.0163,-0.145826,-3.00727
0,-29.6279,-0.0118675,-2.64323
0,-29.7858,-0.171617,-2.39469
0,-29.8665,-0.228364,-2.34082
0,-30.2342,-0.454851,-2.16996
0,-32.6979,-1.63618,-1.6051
0,-30.5738,-0.490456,-3.21991
0,-30.4422,-0.401768,-3.17704
0,-29.6596,-0.0662002,-2.52455
0,-29.886,-0.0801296,-2.93754
0,-32.8522,-1.70191,-1.58014
0,-30.1887,-0.243019,-3.08354
0,-29.6284,-0.0100703,-2.64998
0,-30.1459,-0.217971,-3.06583
0,-29.8638,-0.0697856,-2.92399
0,-29.6275,-0.0166078,-2.62752
0,-29.6297,-0.00771077,-2.65981
0,-30.0673,-0.356513,-2.23798
0,-29.7198,-0.0129614,-2.81394
0,-30.8968,-0.808478,-1.96669
0,-29.6311,-0.0285856,-2.59561
0,-30.9416,-0.830944,-1.95522
0,-29.6329,-0.00457776,-2.67555
0,-32.4386,-1.52432,-1.64853
0,-29.8439,-0.0608334,-2.91138
0,-29.7195,-0.120513,-2.45075
0,-30.0634,-0.171353,-3.02952
0,-31.0086,-0.809594,-3.34379
0,-32.6682,-2.36291,-3.69359
